Edges in the graph (u, v, w):
(0, 31, 18)
(0, 5, 28)
(0, 26, 26)
(0, 9, 8)
(0, 71, 34)
(0, 93, 32)
(0, 14, 33)
(0, 19, 33)
(0, 47, 30)
(0, 41, 31)
(0, 68, 45)
(0, 95, 40)
(0, 34, 44)
(0, 22, 9)
(0, 48, 14)
(0, 67, 8)
(0, 35, 27)
(0, 81, 16)
(0, 80, 15)
(0, 77, 21)
(0, 25, 46)
(0, 7, 7)
(0, 87, 12)
(0, 99, 44)
(0, 13, 18)
(0, 39, 48)
(0, 46, 19)
(0, 69, 17)
(0, 75, 45)
(0, 89, 34)
(0, 44, 49)
(0, 62, 41)
(0, 32, 21)
(0, 42, 18)
(0, 60, 42)
(0, 8, 22)
(0, 12, 50)
(0, 20, 7)
(0, 3, 40)
(0, 84, 41)
(0, 90, 30)
(0, 79, 30)
(0, 17, 4)
(0, 54, 45)
(0, 65, 5)
(0, 66, 27)
(0, 97, 30)
(0, 70, 30)
(0, 1, 27)
(0, 36, 49)
(0, 2, 3)
(0, 49, 33)
(0, 40, 43)
(0, 52, 27)
(0, 51, 33)
(0, 63, 7)
(0, 59, 2)
(0, 6, 15)
(0, 85, 21)
(0, 27, 15)
(0, 53, 38)
(0, 50, 5)
(0, 78, 48)
(0, 18, 6)
(0, 82, 34)
(0, 56, 8)
(0, 96, 47)
(0, 86, 28)
(0, 15, 6)
(0, 38, 2)
(0, 83, 27)
(0, 76, 43)
(0, 10, 21)
(0, 28, 38)
(0, 45, 41)
(0, 94, 36)
(0, 23, 34)
(0, 74, 10)
(0, 91, 16)
(0, 43, 24)
(0, 88, 34)
(0, 58, 21)
(0, 33, 46)
(0, 11, 23)
(0, 21, 10)
(0, 98, 14)
(0, 30, 13)
(0, 64, 24)
(0, 72, 30)
(0, 4, 34)
(0, 61, 7)
(0, 37, 26)
(0, 29, 37)
(0, 73, 44)
(0, 57, 49)
(0, 92, 37)
(0, 55, 49)
(0, 24, 47)
(0, 16, 43)
(1, 31, 1)
(1, 37, 42)
(1, 78, 42)
(1, 12, 7)
(1, 77, 41)
(1, 39, 50)
(1, 86, 29)
(1, 82, 22)
(1, 65, 16)
(1, 18, 24)
(1, 2, 29)
(1, 96, 29)
(1, 28, 50)
(1, 50, 45)
(1, 42, 35)
(1, 94, 46)
(1, 13, 4)
(1, 63, 47)
(1, 27, 50)
(1, 64, 4)
(1, 79, 15)
(1, 5, 23)
(1, 60, 44)
(1, 46, 1)
(1, 44, 5)
(1, 24, 31)
(1, 49, 14)
(1, 61, 21)
(1, 3, 49)
(1, 43, 36)
(1, 57, 32)
(1, 91, 17)
(1, 59, 23)
(1, 93, 13)
(1, 36, 36)
(1, 90, 11)
(1, 33, 4)
(1, 81, 35)
(1, 7, 36)
(1, 88, 12)
(1, 85, 28)
(1, 54, 43)
(1, 58, 5)
(1, 95, 25)
(1, 87, 48)
(1, 62, 7)
(1, 19, 2)
(1, 40, 25)
(1, 69, 28)
(1, 45, 5)
(1, 23, 11)
(1, 29, 30)
(1, 25, 39)
(1, 30, 28)
(1, 92, 19)
(1, 35, 29)
(1, 14, 16)
(1, 89, 32)
(1, 72, 16)
(1, 38, 38)
(1, 52, 50)
(1, 22, 44)
(1, 99, 41)
(1, 56, 29)
(1, 16, 49)
(1, 47, 6)
(1, 17, 28)
(1, 48, 36)
(1, 67, 50)
(1, 71, 19)
(1, 8, 5)
(1, 9, 25)
(1, 84, 44)
(1, 21, 39)
(1, 55, 36)
(1, 73, 23)
(1, 10, 1)
(1, 66, 46)
(1, 34, 19)
(1, 76, 48)
(1, 98, 47)
(1, 70, 40)
(1, 26, 27)
(1, 32, 43)
(1, 68, 3)
(1, 4, 13)
(1, 41, 13)
(1, 80, 14)
(1, 74, 41)
(1, 53, 7)
(1, 83, 33)
