Edges in the graph (u, v, w):
(0, 31, 18)
(0, 5, 28)
(0, 26, 26)
(0, 9, 8)
(0, 71, 34)
(0, 93, 32)
(0, 14, 33)
(0, 19, 33)
(0, 47, 30)
(0, 41, 31)
(0, 68, 45)
(0, 95, 40)
(0, 34, 44)
(0, 22, 9)
(0, 48, 14)
(0, 67, 8)
(0, 35, 27)
(1, 31, 16)
(1, 37, 15)
(1, 78, 21)
(1, 12, 46)
(1, 77, 7)
(1, 39, 12)
(1, 86, 44)
(1, 82, 18)
(1, 65, 48)
(1, 18, 19)
(1, 2, 17)
(1, 96, 45)
(1, 28, 34)
(1, 50, 49)
(1, 42, 41)
(2, 44, 21)
(2, 74, 18)
(2, 4, 42)
(2, 98, 22)
(2, 37, 50)
(2, 41, 7)
(2, 26, 40)
(2, 39, 41)
(2, 81, 30)
(2, 99, 30)
(3, 98, 4)
(3, 47, 45)
(3, 10, 5)
(3, 55, 27)
(3, 36, 30)
(3, 40, 30)
(3, 32, 27)
(3, 67, 49)
(3, 33, 3)
(4, 96, 33)
(4, 50, 43)
(4, 40, 27)
(4, 71, 33)
(4, 79, 7)
(4, 70, 2)
(4, 11, 15)
(4, 68, 21)
(4, 87, 15)
(5, 33, 38)
(5, 55, 5)
(5, 83, 48)
(5, 61, 6)
(5, 56, 34)
(5, 70, 8)
(6, 62, 47)
(6, 29, 28)
(6, 30, 6)
(6, 15, 2)
(6, 76, 27)
(6, 50, 43)
(6, 93, 21)
(6, 64, 38)
(6, 40, 41)
(6, 55, 36)
(6, 39, 34)
(6, 65, 10)
(6, 66, 16)
(6, 82, 24)
(7, 14, 34)
(7, 45, 21)
(7, 30, 46)
(7, 46, 23)
(7, 27, 10)
(7, 53, 14)
(7, 61, 13)
(7, 58, 24)
(7, 68, 30)
(7, 24, 34)
(7, 44, 7)
(7, 38, 26)
(7, 77, 37)
(7, 59, 44)
(7, 23, 49)
(7, 66, 37)
(8, 11, 49)
(8, 65, 47)
(8, 78, 43)
(8, 83, 1)
(8, 40, 42)
(8, 13, 42)
(8, 39, 7)
(8, 52, 41)
(8, 14, 50)
(8, 34, 29)
(8, 61, 22)
(8, 46, 16)
(8, 41, 24)
(8, 30, 29)
(8, 32, 29)
(8, 89, 50)
(8, 33, 45)
(8, 57, 35)
(9, 66, 46)
(9, 96, 4)
(9, 27, 47)
(9, 79, 50)
(9, 86, 4)
(9, 75, 15)
(9, 26, 23)
(9, 33, 44)
(9, 46, 1)
(9, 28, 5)
(9, 65, 31)
(9, 32, 14)
(9, 76, 21)
(10, 82, 49)
(10, 71, 36)
(10, 30, 32)
(10, 93, 17)
(10, 60, 23)
(10, 70, 13)
(10, 73, 36)
(10, 78, 11)
(10, 83, 4)
(10, 63, 35)
(10, 35, 36)
(10, 17, 12)
(10, 57, 28)
(10, 62, 43)
(10, 43, 5)
(10, 29, 25)
(10, 77, 48)
(11, 42, 7)
(11, 19, 2)
(11, 90, 25)
(11, 85, 28)
(11, 45, 5)
(11, 47, 11)
(11, 32, 30)
(11, 66, 39)
(11, 89, 28)
(11, 92, 19)
(11, 23, 29)
(11, 94, 16)
(11, 57, 32)
(11, 76, 16)
(12, 35, 38)
(12, 97, 50)
(12, 36, 44)
(12, 14, 41)
(12, 56, 29)
(12, 43, 49)
(12, 93, 6)
(12, 95, 28)
(13, 98, 36)
(13, 93, 50)
(13, 55, 19)
(13, 35, 5)
(13, 28, 25)
(13, 85, 44)
(13, 24, 39)
(13, 94, 36)
(13, 90, 23)
(13, 43, 1)
(13, 92, 46)
(14, 31, 19)
(14, 84, 48)
(14, 46, 47)
(14, 35, 40)
(14, 20, 27)
(14, 64, 43)
(14, 51, 3)
(14, 76, 13)
(14, 54, 13)
(14, 62, 14)
(14, 30, 41)
(14, 89, 7)
(15, 31, 33)
